[2026-07-02T17:00:07.629Z] Activating Agent Skill Installer
[2026-07-02T17:00:07.658Z] appName: Code OSS for Cloud Shell, ideType: 6
[2026-07-02T17:00:07.658Z] Profile antigravity-ide is NOT active
[2026-07-02T17:00:11.144Z] Copied skill discovering-gcp-data-assets to /home/vicenteaugusto_useche/.gemini/skills/discovering-gcp-data-assets
[2026-07-02T17:00:11.144Z] Copied skill skill-repair to /home/vicenteaugusto_useche/.gemini/skills/skill-repair
[2026-07-02T17:00:11.392Z] Copied skill data-autocleaning to /home/vicenteaugusto_useche/.gemini/skills/data-autocleaning
[2026-07-02T17:00:11.394Z] Copied skill gcp-pipeline-resource-provisioning to /home/vicenteaugusto_useche/.gemini/skills/gcp-pipeline-resource-provisioning
[2026-07-02T17:00:11.416Z] Copied skill bigquery-data-transfer-service to /home/vicenteaugusto_useche/.gemini/skills/bigquery-data-transfer-service
[2026-07-02T17:00:11.424Z] Copied skill gcp-spark to /home/vicenteaugusto_useche/.gemini/skills/gcp-spark
[2026-07-02T17:00:11.491Z] Copied skill building-data-apps to /home/vicenteaugusto_useche/.gemini/skills/building-data-apps
[2026-07-02T17:00:11.494Z] Copied skill gcp-dataflow to /home/vicenteaugusto_useche/.gemini/skills/gcp-dataflow
[2026-07-02T17:00:11.494Z] Copied skill gcp-pipeline-orchestration to /home/vicenteaugusto_useche/.gemini/skills/gcp-pipeline-orchestration
[2026-07-02T17:00:11.529Z] Copied skill developing-with-bigquery to /home/vicenteaugusto_useche/.gemini/skills/developing-with-bigquery
[2026-07-02T17:00:11.529Z] Finished copying skills to /home/vicenteaugusto_useche/.gemini/skills. Updated 20 skills.
[2026-07-02T17:00:11.545Z] Installation completed. Manifest updated.
